Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
AUTODESK INC,ADSK,052769106,2065159,0.541648,-,1255829.000,USD,,,,
TE CONNECTIVITY LTD,TEL,H84989104,B62B7C3,0.507469,-,1841879.000,USD,,,,
ON SEMICONDUCTOR,ON,682189105,2583576,0.481063,-,2514185.000,USD,,,,
ARISTA NETWORKS INC,ANET,040413106,BN33VM5,0.480566,-,1440541.000,USD,,,,
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.397632,-,2962522.000,USD,,,,
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.359364,-,1037999.000,USD,,,,
ANSYS INC,ANSS,03662Q105,2045623,0.340066,-,506969.000,USD,,,,
GARTNER INC,IT,366651107,2372763,0.334720,-,459911.000,USD,,,,
HP INC,HPQ,40434L105,BYX4D52,0.322820,-,5030475.000,USD,,,,
ENPHASE ENERGY INC,ENPH,29355A107,B65SQW4,0.308864,-,791107.000,USD,,,,
CORNING INC,GLW,219350105,2224701,0.302943,-,4430579.000,USD,,,,
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.290992,-,788047.000,USD,,,,
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.276160,-,260423.000,USD,,,,
VERISIGN INC,VRSN,92343E102,2142922,0.252465,-,533209.000,USD,,,,
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.252100,-,7460544.000,USD,,,,
FAIR ISAAC CORP,FICO,303250104,2330299,0.237665,-,146393.000,USD,,,,
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.237250,-,577036.000,USD,,,,
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.232780,-,272797.000,USD,,,,
SKYWORKS SOLUTIONS INC,SWKS,83088M102,2961053,0.208326,-,925267.000,USD,,,,
TERADYNE INC,TER,880770102,2884183,0.202580,-,906568.000,USD,,,,
SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,BWC52Q6,0.202436,-,325368.000,USD,,,,
TYLER TECHNOLOGIES INC,TYL,902252105,2909644,0.201800,-,242374.000,USD,,,,
NETAPP INC,NTAP,64110D104,2630643,0.190931,-,1254748.000,USD,,,,
AKAMAI TECHNOLOGIES INC,AKAM,00971T101,2507457,0.182251,-,915171.000,USD,,,,
PTC INC,PTC,69370C100,B95N910,0.180555,-,619421.000,USD,,,,
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,989207105,2989356,0.178805,-,300454.000,USD,,,,
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.159479,-,1858574.000,USD,,,,
TRIMBLE INC,TRMB,896239100,2903958,0.157483,-,1435403.000,USD,,,,
EPAM SYSTEMS INC,EPAM,29414B104,B44Z3T8,0.150779,-,334678.000,USD,,,,
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,0.142106,-,1117668.000,USD,,,,
STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM,-,964WKM905,-,0.132547,-,61806937.260,USD,,,,
GEN DIGITAL INC,GEN,668771108,BJN4XN5,0.126138,-,3310660.000,USD,,,,
QORVO INC,QRVO,74736K101,BR9YYP4,0.123117,-,581423.000,USD,,,,
JUNIPER NETWORKS INC,JNPR,48203R104,2431846,0.121488,-,1885573.000,USD,,,,
F5 INC,FFIV,315616102,2427599,0.109216,-,349897.000,USD,,,,
DXC TECHNOLOGY CO,DXC,23355L106,BYXD7B3,0.075891,-,1325174.000,USD,,,,
