Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
BIO TECHNE CORP,TECH,09073M104,BSHZ3Q0,0.266013,-,1294445.000,USD,,,,
VIATRIS INC,VTRS,92556V106,BMWS3X9,0.235850,-,9971807.000,USD,,,,
INCYTE CORP,INCY,45337C102,2471950,0.233705,-,1522758.000,USD,,,,
TELEFLEX INC,TFX,879369106,2881407,0.226765,-,386384.000,USD,,,,
CHARLES RIVER LABORATORIES,CRL,159864107,2604336,0.210146,-,419171.000,USD,,,,
HENRY SCHEIN INC,HSIC,806407102,2416962,0.209289,-,1116517.000,USD,,,,
UNIVERSAL HEALTH SERVICES B,UHS,913903100,2923785,0.178763,-,528437.000,USD,,,,
DENTSPLY SIRONA INC,XRAY,24906P109,BYNPPC6,0.172290,-,1770393.000,USD,,,,
BIO RAD LABORATORIES A,BIO,090572207,2098508,0.163621,-,177436.000,USD,,,,
CATALENT INC,CTLT,148806102,BP96PQ4,0.143122,-,1482418.000,USD,,,,
