Number,Ticker,Name,Identifier (FIGI),Shares,Asset Class,Market Value $),Notional Value,% of Net Assets
61,MUX,Mcewen Mining Inc,BBG000BW6CN8,"1,981,923",Stock,"$16,152,672.45", -- ,0.40%
65,TIE.AX,Tietto Minerals Ltd,BBG00J5H10D9,"43,803,305",Stock,"$15,208,568.57", -- ,0.37%
68,DRD,Drdgold Ltd,BBG000BX8QF2,"1,044,704",Stock,"$12,609,577.28", -- ,0.31%
72,SBM.AX,St Barbara Ltd,BBG000BS4GC2,"30,421,926",Stock,"$11,285,786.27", -- ,0.28%
74,RED.AX,Red 5 Ltd,BBG000H39TV7,"108,340,732",Stock,"$10,876,794.52", -- ,0.27%
75,ALK.AX,Alkane Resources Ltd,BBG000BRN1P2,"21,103,334",Stock,"$10,456,873.93", -- ,0.26%
76,GROY,Gold Royalty Corp,BBG00ZGH4798,"5,361,756",Stock,"$10,455,424.20", -- ,0.26%
77,SVL.AX,Silver Mines Ltd,BBG000QBM7B4,"70,688,667",Stock,"$9,481,142.64", -- ,0.23%
78,MTA,Metalla Royalty & Streaming Ltd,BBG000HM5YW7,"2,149,553",Stock,"$9,221,582.37", -- ,0.23%
79,DC,Dakota Gold Corp,BBG0120W17D2,"2,800,086",Stock,"$9,212,282.94", -- ,0.23%
80,KCN.AX,Kingsgate Consolidated Ltd,BBG000BHSQT0,"10,569,933",Stock,"$8,993,953.90", -- ,0.22%
82,GLDG,Goldmining Inc,BBG001V9NSN1,"8,453,807",Stock,"$8,707,421.21", -- ,0.21%
83,CMCL,Caledonia Mining Corp Plc,BBG000CQHQS2,"616,203",Stock,"$8,324,902.53", -- ,0.20%
85,GATO,Gatos Silver Inc,BBG001W4GDZ9,"1,705,547",Stock,"$7,845,516.20", -- ,0.19%
87,USAS,Americas Gold & Silver Corp,BBG000CG1PT2,"10,314,808",Stock,"$4,307,463.82", -- ,0.11%
90,FFX.AX,Firefinch Ltd,BBG000Q3DTC3,"54,133,739",Stock,"$1,622,875.08", -- ,0.04%

