Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
AGLS,Accuvest Global Long Short ETF,2010-07-09,ETF,,This ETF is not linked to a specific benchmark.,Long-Short,AdvisorShares,1.50%,,,$43.20 ,2," 14,375 ", 1.11 ,Alternatives,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGND,Barclays U.S. Aggregate Bond Negative Duration Fund,2013-12-18,ETF,"Barclays Rate Hedged U.S. Aggregate Bond Index, Negative Five Duration","The Index is comprised of a long portfolio and short portfolio. The The Index is comprised of a long portfolio and short portfolio. The &quot;long portfolio&quot; of the Index intends to replicate the Barclays U.S. Aggregate Bond Index, which broadly captures the U.S. investment grade, fixed income securities market and is comprised of U.S. Treasuries and U.S. Government-related bonds, corporate bonds, mortgage-backed pass-through securities, commercial mortgage-backed securities and asset-backed securities that are publicly offered for sale in the United States. The &quot;short portfolio&quot; of the Index holds short positions in U.S. Treasuries that seek to correspond to a duration exposure exceeding the duration of the long portfolio, with a targeted total duration exposure of approximately negative five years.",Total Bond Market,WisdomTree,0.28%,,,$10.00 ,0.2,, -   ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGOL,Physical Asian Gold Shares,2011-01-14,Grantor Trust,Gold Bullion,This ETF is designed to track the spot price of gold bullion,Precious Metals,ETF Securities,0.39%,,,$54.00 ,0.5, 461 , (2.53),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGQ,Ultra Silver,2008-12-01,Commodity Pool,Silver bullion (200%),"ProShares Ultra Silver seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of silver bullion as measured by the U.S. Dollar fixing price for delivery in London.",Leveraged Commodities,ProShares,0.95%,,,$486.00 ,29.4," 1,551,803 ", (5.66),Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
AGRG,Aggressive Growth ETF,2011-05-19,ETF,Russell U.S. Large Cap Aggressive Growth Index,"The index is designed to select securities intended to produce performance that is similar to professional investment managers using an aggressive growth investment discipline. This discipline focuses on companies with near term forecasted earnings that are expected to increase at a faster rate than those of the average company�s earnings. Starting with the Russell 1000 Index, the Index includes companies that demonstrate growth potential as measured by: (1) average to high consensus forecasted earnings and (2) average to high one year historical sales growth. The index excludes companies with low earnings retention as measured by high dividend yields for the last four quarters. It also excludes stocks with low price to book ratios to ensure a growth orientation.",Large Cap Growth Equities,Russell,0.37%,$0.13,0.74%,$5.30 ,0.1," 1,358 ", 2.45 ,Equity,Large-Cap,Growth,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGZ,iShares Agency Bond ETF,2008-11-05,ETF,Barclays Capital U.S. Agency Bond Index,The index measures the performance of the agency sector of the U.S. government bond market.,Government Bonds,iShares,0.20%,$0.12,1.18%,$398.40 ,3.6," 27,789 ", (0.27),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGZD,Barclays U.S. Aggregate Bond Zero Duration Fund,2013-12-18,ETF,"Barclays Rate Hedged U.S. Aggregate Bond Index, Zero Duration","The Index is comprised of a long portfolio and short portfolio. The &quot;long portfolio&quot; of the Index intends to replicate the Barclays U.S. Aggregate Bond Index, which broadly captures the U.S. investment grade, fixed income securities market and is comprised of U.S. Treasuries and U.S. Government related bonds, corporate bonds, mortgage-backed passthrough securities, commercial mortgage-backed securities and asset-backed securities that are publicly offered for sale in the United States. The &quot;short portfolio&quot; of the Index holds short positions in U.S. Treasuries that seek to correspond to a duration exposure matching the duration of the long portfolio, with a targeted total duration exposure of approximately zero years.",Total Bond Market,WisdomTree,0.23%,,,$10.00 ,0.2,, -   ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AIA,iShares Asia 50 ETF,2007-11-13,ETF,S&P Asia 50 Index,"The index measures the performance of 50 leading companies from four Asian countries: Hong Kong, South Korea, Singapore, and Taiwan.",Emerging Markets Equities,iShares,0.50%,$0.47,2.09%,$265.00 ,5.6," 24,422 ", 1.58 ,Equity,,,Broad Asia,6.01%,8.32%,9.18%,1.65%,6.87%,29.95%,0.00%,4.67%,4.18%,23.87%,3.81%,,,click,click,,,,,,,,,,,,,
ALD,Asia Local Debt Fund,2011-03-17,ETF,,This ETF is not linked to a specific benchmark.,Emerging Markets Bonds,WisdomTree,0.55%,$0.06,3.18%,$513.30 ,10.8," 35,966 ", (0.41),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ALFA,AlphaClone Alternative Alpha ETF,2012-05-31,ETF,AlphaClone Hedge Fund Long/Short Index,"The index tracks the performance of US-traded equity securities to which hedge funds and institutional investors have disclosed significant exposure. The proprietary index methodology developed by AlphaClone ranks hedge funds and institutional investors based on the efficacy of replicating their publicity disclosed positions. Equities are selected from those managers with the highest ranking, or Clone Score. The index is risk managed in that it can vary between being long only and market hedged based on certain rules-driven relative price targets tied to a broad market index.",Hedge Fund,Exchange Traded Concepts,0.95%,$0.01,0.03%,$33.70 ,0.9," 17,302 ", 1.79 ,Alternatives,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ALT,Diversified Alternatives Trust,2009-10-06,Commodity Pool,,This ETF is not linked to a specific benchmark.,Hedge Fund,iShares,1.02%,,,$42.60 ,0.8," 23,189 ", 0.52 ,Alternatives,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ALTL,US Large Cap Alternator ETN,2012-09-06,ETN,RBS US Large Cap Alternator Index,"This index utilizes a systematic relative strength strategy to provide exposure to either the S&amp;P 500 Total Return Index, the S&amp;P 500 Low Volatility Total Return Index or the S&amp;P 500 Equal Weight Total Return Index, depending on the relative performance of the three Underlying Indices based on their average historical returns.",Large Cap Blend Equities,RBS,1.00%,,,$0.00 ,0," 12,518 ", 1.00 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ALUM,Aluminum ETF,2011-01-04,ETF,Solactive Global Aluminum Index,"The index tracks the performance of the largest and most liquid listed companies that are active in some aspect of the aluminum industry, such as bauxite aluminum ore mining, production, or refinement.",Commodity Producers Equities,Global X,0.69%,$0.11,1.14%,$2.30 ,0.3," 2,509 ", 2.53 ,Equity,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AMJ,Alerian MLP Index ETN,2009-04-02,ETN,Alerian MLP Index,"The Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products.",MLPs,JP Morgan,0.85%,$0.58,3.53%,"$5,848.10 ",126.5," 584,325 ", 1.17 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AMLP,Alerian MLP ETF,2010-08-25,ETF,Alerian MLP Infrastructure Index,The index is designed to give investors exposure to the infrastructure component of the Master Limited Partnership asset class. Constituents each earn at least 50% of EBITDA from assets that are not directly exposed to changes in commodity prices. The index is disseminated by the New York Stock Exchange and is a composite of 25 energy infrastructure MLPs.,MLPs,ALPS,0.85%,$0.27,6.06%,"$7,481.70 ",424.6," 2,846,572 ", 0.84 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,98.14%,0.00%,0.00%,0.00%,0.00%,0.00%,1.82%,,,click,click,,,,,,,,,,,,,
AMPS,iShares Utilities Bond ETF,2012-02-16,ETF,Barclays Capital U.S. Utility Bond Index,The index measures the performance of U.S. dollar-denominated publicly-issued investment grade corporate bonds in the utility sector.,Corporate Bonds,iShares,0.30%,$0.14,3.12%,$9.60 ,0.2," 4,654 ", (1.19),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AMU,ETRACS Alerian MLP Index ETN,2012-07-17,ETN,Alerian MLP Index,"The Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products.",MLPs,UBS,0.80%,$0.37,3.53%,$215.20 ,7.3," 57,377 ", 1.55 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AND,FTSE Andean 40 ETF,2011-02-03,ETF,FTSE Andean 40 Index,"The index tracks the performance of the 40 largest companies in Chile, Colombia, and Peru.",Latin America Equities,Global X,0.72%,$0.26,2.36%,$9.90 ,0.9," 4,831 ", (1.37),Equity,,,Latin America,17.92%,1.33%,11.60%,4.49%,12.97%,24.40%,0.00%,8.72%,0.65%,1.00%,13.64%,,,click,click,,,,,,,,,,,,,
ANGL,Market Vectors Fallen Angel ETF,2012-04-11,ETF,BofA Merrill Lynch US Fallen Angel High Yield Index,"The index is comprised of below investment grade corporate debt instruments denominated in U.S. dollars that were rated investment grade at the time of issuance. Qualifying securities must be issued in the U.S. domestic market and have a below investment grade rating (based on an average of Moody�s, Standard &amp; Poor�s Rating Services, or Fitch International Rating Agency.",High Yield Bonds,Van Eck,0.40%,$0.13,6.37%,$16.10 ,0.6," 2,841 ", 0.84 ,Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AOA,iShares Aggressive Allocation ETF,2008-11-04,ETF,S&P Target Risk Aggressive Index,The Index is designed to measure the performance of S&amp;P's proprietary aggressive target risk allocation model.,Diversified Portfolio,iShares,0.32%,$0.14,1.96%,$219.70 ,5," 26,906 ", 0.89 ,Multi-Asset,,,Global,4.24%,3.08%,9.95%,7.49%,6.65%,13.46%,8.75%,9.88%,3.52%,10.26%,3.00%,,,click,click,,,,,,,,,,,,,
AOK,iShares Conservative Allocation ETF,2008-11-04,ETF,S&P Target Risk Conservative Index,The Index is designed to measure the performance of S&amp;P's proprietary conservative target risk allocation model.,Diversified Portfolio,iShares,0.30%,$0.03,1.78%,$137.40 ,4.3," 27,097 ", 0.41 ,Multi-Asset,,,Global,1.60%,1.25%,3.42%,2.93%,2.49%,5.08%,3.21%,3.25%,1.00%,3.49%,1.03%,,,click,click,,,,,,,,,,,,,
AOM,iShares Moderate Allocation ETF,2008-11-04,ETF,S&P Target Risk Moderate Index,The Index is designed to measure the performance of S&amp;P's proprietary moderate target risk allocation model.,Diversified Portfolio,iShares,0.32%,$0.13,2.13%,$213.90 ,6.3," 36,739 ", 0.54 ,Multi-Asset,,,Global,2.25%,1.76%,5.13%,4.16%,3.67%,7.30%,4.70%,4.93%,1.59%,5.48%,1.53%,,,click,click,,,,,,,,,,,,,
AOR,iShares Growth Allocation ETF,2008-11-04,ETF,S&P Target Risk Growth Index,The Index is designed to measure the performance of S&amp;P's proprietary growth target risk allocation model.,Diversified Portfolio,iShares,0.31%,$0.14,2.05%,$249.50 ,6.5," 39,622 ", 0.66 ,Multi-Asset,,,Global,3.02%,2.37%,7.24%,5.72%,5.14%,10.00%,6.62%,6.99%,2.30%,7.83%,2.15%,,,click,click,,,,,,,,,,,,,
ARGT,FTSE Argentina 20 ETF,2011-03-03,ETF,FTSE Argentina 20 Index,"The index is designed to measure performance of the top 20 companies within the investable universe of Argentina-domiciled companies or companies that have substantial revenues or assets in Argentina, as defined by FTSE.",Latin America Equities,Global X,0.75%,$0.09,0.45%,$7.40 ,0.4," 7,366 ", (2.47),Equity,,,Latin America,35.96%,5.00%,12.01%,2.59%,9.00%,10.52%,0.00%,0.00%,2.14%,20.15%,2.68%,,,click,click,,,,,,,,,,,,,
ASDR,VelocityShares Emerging Asia DR ETF,2013-04-08,ETF,BNY Mellon Emerging Asia DR Index,This index is a comprehensive depository receipt index and is calculated on a continuous basis throughout the trading day - beginning with the open of the U.K. market through the close of the U.S. market. BNY Mellon DR Index is capitalization-weighted and adjusted for free-float using Dow Jones' methodology.,Emerging Markets Equities,VelocityShares,0.65%,$0.46,1.22%,$16.60 ,0.3," 12,608 ", (9.78),Equity,Multi-Cap,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ASEA,FTSE ASEAN 40 ETF,2011-02-17,ETF,FTSE/ASEAN 40 Index,"The index tracks the performance of the 40 largest companies in the five ASEAN regions: Indonesia, Philippines, Singapore, Malaysia and Thailand.",Emerging Markets Equities,Global X,0.65%,$0.38,2.44%,$36.80 ,2.4," 23,172 ", (1.46),Equity,Large-Cap,Blend,Emerging Asia Pacific,1.71%,18.63%,10.71%,6.72%,4.71%,40.79%,0.00%,10.36%,1.85%,0.00%,4.28%,,,click,click,,,,,,,,,,,,,
ASHR,Harvest CSI 300 China A-Shares Fund,2013-11-06,ETF,CSI 300 Index,The index consists of 300 A-Share stocks listed on the Shenzen or Shanghai Stock Exchange.,China Equities,Deutsche Asset &amp; Wealth Management,1.08%,,,$216.20 ,9,, (2.48),Equity,,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ASO,AirShares EU Carbon Allowances,2008-12-15,,,This ETF is not linked to a specific benchmark.,Commodities,Deutsche Asset &amp; Wealth Management,0.85%,,,$0.00 ,0,,,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ATMP,Barclays ETN+ Select MLP ETN,2013-03-12,ETN,Atlantic Trust Select MLP Index,"The Index is designed to provide exposure to a basket of midstream U.S. and Canadian master limited partnerships, limited liability companies and corporations (collectively,",MLPs,Barclays iPath,0.95%,$0.27,1.94%,$183.80 ,6.7," 38,000 ", 1.23 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AUD,Australia Bond Index Fund,2011-11-01,ETF,BofA Merrill Lynch Diversified Australia Bond Index,"The index tracks the performance of large, Australian dollar-denominated investment grade debt instruments publicly issued in the Australian domestic market, including sovereign, quasi-government, corporate, securitized and collateralized securities.",International Government Bonds,PIMCO,0.45%,$0.25,1.95%,$25.00 ,0.3," 3,008 ", (1.89),Bond,,,Developed Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AUNZ,Australia & New Zealand Debt Fund,2008-06-25,ETF,,This ETF is not linked to a specific benchmark.,International Government Bonds,WisdomTree,0.45%,$0.05,2.88%,$38.90 ,2," 16,487 ", (1.00),Bond,,,Developed Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AUSE,Australia Dividend Fund,2006-06-16,ETF,WisdomTree Australia Dividend Index,The WisdomTree Australia Dividend Index is a fundamentally weighted index that measures the performance of high-dividend yielding companies in Australia. The index is comprised of dividend paying companies incorporated in Australia with a minimum market capitalization of $1.0 billion. The index is comprised of the ten largest qualifying companies from each sector ranked by market capitalization.,Asia Pacific Equities,WisdomTree,0.58%,$1.05,4.30%,$55.00 ,1," 5,238 ", (1.62),Equity,,,Developed Asia Pacific,15.39%,3.70%,13.10%,15.98%,7.62%,19.94%,6.44%,11.25%,0.00%,3.64%,2.94%,,,click,click,,,,,,,,,,,,,
AXDI,iShares MSCI ACWI ex U.S. Consumer Discretionary ETF,2010-07-13,ETF,MSCI All Country World ex USA Consumer Discretionary Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the consumer discretionary sector of developed and emerging markets countries, excluding the U.S.",Consumer Discretionary Equities,iShares,0.48%,$0.64,1.82%,$4.20 ,0.1, 643 , 1.69 ,Equity,,,Global ex-U.S.,0.29%,3.31%,86.62%,0.48%,0.00%,0.00%,0.00%,2.06%,0.00%,4.78%,0.00%,,,click,click,,,,,,,,,,,,,
AXEN,iShares MSCI ACWI ex U.S. Energy ETF,2010-07-13,ETF,MSCI All Country World ex USA Energy Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the energy sector of developed and emerging markets countries, excluding the U.S.",Energy Equities,iShares,0.48%,$0.79,3.16%,$5.40 ,0.1," 3,046 ", 1.44 ,Equity,,,Global ex-U.S.,2.88%,0.00%,0.00%,0.00%,94.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXFN,MSCI ACWI ex US Financials Sector Index Fund,2010-01-20,ETF,MSCI All Country World ex USA Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed and emerging markets countries, excluding the United States. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Financials Equities,iShares,0.48%,$0.25,2.67%,$5.10 ,0.2," 2,815 ", 1.72 ,Equity,,,Global ex-U.S.,0.00%,0.00%,0.84%,0.00%,0.00%,85.33%,0.00%,0.50%,10.77%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXHE,iShares MSCI ACWI ex U.S. Healthcare ETF,2010-07-13,ETF,MSCI All Country World ex USA Health Care Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the health care sector of developed and emerging markets countries, excluding the U.S.",Health &amp; Biotech Equities,iShares,0.48%,$0.31,1.92%,$12.10 ,0.2, 593 , 1.86 ,Equity,,,Global ex-U.S.,0.57%,0.00%,0.00%,0.15%,0.00%,0.00%,97.95%,0.00%,0.00%,0.13%,0.00%,,,click,click,,,,,,,,,,,,,
AXID,iShares MSCI ACWI ex U.S. Industrials ETF,2010-07-13,ETF,MSCI All Country World ex USA Industrials Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the industrials sector of developed and emerging markets countries, excluding the U.S.",Industrials Equities,iShares,0.48%,$0.38,1.93%,$3.30 ,0.1," 1,533 ", 2.72 ,Equity,,,Global ex-U.S.,6.52%,0.00%,2.59%,0.45%,1.66%,0.00%,0.00%,76.30%,0.35%,5.98%,0.51%,,,click,click,,,,,,,,,,,,,
AXIT,iShares MSCI ACWI ex U.S. Information Technology ETF,2010-07-13,ETF,MSCI All Country World ex USA Information Technology Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the information technology sector of developed and emerging markets countries, excluding the U.S.",Technology Equities,iShares,0.48%,$0.47,1.21%,$3.30 ,0.1, 664 , 3.25 ,Equity,,,Global ex-U.S.,0.35%,0.58%,1.21%,0.00%,0.00%,0.00%,0.00%,9.14%,0.00%,84.85%,0.25%,,,click,click,,,,,,,,,,,,,
AXJL,Asia Pacific ex-Japan Fund,2006-06-16,ETF,WisdomTree Asia Pacific ex-Japan Index,"The WisdomTree Asia Pacific ex-Japan Index is a fundamentally weighted index that measures the performance of dividend paying companies in the Asia Pacific ex-Japan region. The index is comprised of 300 largest companies ranked by market capitalization that are incorporated in Australia, China, Hong Kong, India, Indonesia, Malaysia, New Zealand, Philippines, Singapore, South Korea, Taiwan and Thailand and that pass WisdomTree Investments market capitalization, liquidity and selection requirements.",Asia Pacific Equities,WisdomTree,0.48%,$0.75,3.35%,$65.90 ,1," 4,111 ", (1.48),Equity,,,Broad Asia,9.35%,24.07%,6.38%,7.21%,9.89%,21.32%,0.74%,5.80%,2.56%,8.02%,4.67%,,,click,click,,,,,,,,,,,,,
AXJS,MSCI All Country Asia ex Japan Small Cap Index Fund,2012-02-02,ETF,MSCI All Country Asia ex Japan Small Cap Index,"The index measures the performance of small cap Asian equities, excluding Japan.",Asia Pacific Equities,iShares,0.75%,$0.91,2.32%,$5.50 ,0.1, 589 , 3.32 ,Equity,Small-Cap,Blend,Broad Asia,8.45%,1.33%,18.08%,5.47%,2.90%,7.55%,5.57%,12.67%,12.74%,19.63%,2.12%,,,click,click,,,,,,,,,,,,,
AXMT,iShares MSCI ACWI ex U.S. Materials ETF,2010-07-13,ETF,MSCI All Country World ex USA Materials Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the materials sector of developed and emerging markets countries, excluding the U.S.",Materials,iShares,0.48%,$0.48,2.35%,$2.50 ,0.1," 1,076 ", 3.26 ,Equity,,,Global ex-U.S.,95.51%,0.00%,1.20%,0.00%,0.24%,0.05%,0.00%,2.04%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXSL,iShares MSCI ACWI ex U.S. Consumer Staples ETF,2010-07-13,ETF,MSCI All Country World ex USA Consumer Staples Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the consumer staples sector of developed and emerging markets countries, excluding the U.S.",Consumer Staples Equities,iShares,0.48%,$0.56,2.05%,$7.80 ,0.1, 806 , (2.30),Equity,,,Global ex-U.S.,0.00%,0.00%,2.80%,95.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXTE,iShares MSCI ACWI ex U.S. Telecommunication Services ETF,2010-07-13,ETF,MSCI All Country World ex USA Telecommunication Services Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the telecommunications sector of developed and emerging markets countries, excluding the U.S.",Communications Equities,iShares,0.48%,$0.79,3.24%,$3.20 ,0.1," 2,874 ", 2.60 ,Equity,,,Global ex-U.S.,0.00%,97.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXUT,iShares MSCI ACWI ex U.S. Utilities ETF,2010-07-13,ETF,MSCI All Country World ex USA Utilities Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the utilities sector of developed and emerging markets countries, excluding the U.S.",Utilities Equities,iShares,0.48%,$0.57,3.99%,$6.60 ,0.2," 1,642 ", 2.86 ,Equity,,,Global ex-U.S.,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,2.13%,0.00%,0.00%,94.58%,,,click,click,,,,,,,,,,,,,
