Ticker,Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IWF,iShares Russell 1000 Growth ETF,Equity,"$67,710,000,000",23.24%,"1,214,275",$263.06,0.93%,No,False,0.81%,6.60%,11.42%,12.24%,13.49%,"-$3,690,222,561.65","$720,744,747.80","$810,811,963.00","-$79,307,435.50","-$5,471,627,135.50","-$7,495,198,595.50",Large Cap Growth Equities,2000-05-22,0.18%,TD Ameritrade,$2.06,2023-06-07,$0.39,0.78%,26.10,1.08,511,48.22%,40%,20%,1099,$244.38,$266.98,N/A,N/A,65.53,A,B+,A,C+,B-,A-,6.92,76.42%,68.15%,45.89,6.17%,8.26%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$67,691,600,000",6.03%,"1,088,731",$254.71,-0.41%,No,False,5.51%,4.14%,3.24%,11.83%,6.76%,"$516,570,487.80","$53,585,694.80","-$92,899,001.15","$3,709,115,447.00","$6,428,494,407.00","$7,034,004,097.00",Mid Cap Growth Equities,2000-05-22,0.05%,2 Platforms,$4.13,2023-06-07,$0.76,1.67%,12.82,1.12,402,6.23%,40%,20%,1099,$236.22,$253.19,N/A,N/A,59.31,A,A-,C+,B,A,B+,5.88,57.71%,37.26%,155.76,4.01%,7.26%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$66,830,000,000",4.26%,"1,000,723",$157.53,0.39%,No,False,1.96%,0.79%,5.57%,10.89%,10.67%,"-$785,923,220.98","$51,946,798.14","$86,896,562.63","$1,400,304,814.37","$9,665,178,876.76","$19,902,440,992.69",Large Cap Growth Equities,2006-04-21,0.06%,3 Platforms,$3.03,2023-03-24,$0.75,1.93%,21.50,0.85,316,31.24%,40%,20%,1099,$152.47,$157.67,$156.84,$157.94,57.22,A,A,A-,A,A-,B,6.91,72.64%,67.97%,139.25,4.63%,3.12%
IWM,iShares Russell 2000 ETF,Equity,"$56,146,500,000",7.68%,"34,531,532",$186.54,-0.37%,No,False,6.49%,7.22%,1.14%,8.96%,3.75%,"$873,511,120.70","$3,463,685,903.70","$4,906,936,956.05","$3,078,892,686.60","$7,546,401,441.60","$4,344,768,176.60",Small Cap Blend Equities,2000-05-22,0.19%,N/A,$2.83,2023-06-07,$0.51,1.58%,10.96,1.15,1899,3.58%,40%,20%,1099,$168.55,$184.97,$185.18,$187.64,62.09,A+,B+,B-,B,B+,A,5.19,13.61%,26.77%,150.84,2.61%,6.66%
VO,Vanguard Mid-Cap ETF,Equity,"$52,058,300,000",4.62%,"708,297",$212.43,0.04%,No,False,3.30%,2.68%,-1.03%,8.85%,7.47%,"$147,775,410.60","$104,324,712.80","$488,734,907.00","$2,114,397,517.45","$12,147,544,527.15","$19,122,034,396.41",Mid Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$3.28,2023-03-23,$0.76,1.54%,18.40,1.08,344,7.63%,40%,20%,1099,$201.51,$212.08,$211.27,$213.15,58.23,A-,A,B-,B-,A,B-,6.45,89.51%,50.45%,231.11,5.01%,8.01%
VGT,Vanguard Information Technology ETF,Equity,"$50,526,400,000",31.90%,"560,977",$420.43,1.01%,No,False,-0.18%,8.87%,17.40%,16.80%,18.68%,"-$485,960,666.52","-$38,230,510.19","$631,968,171.37","-$415,419,429.45","$2,773,381,519.66","$4,707,485,956.92",Technology Equities,2004-01-26,0.10%,Vanguard,$3.00,2023-03-24,$0.77,0.72%,27.40,1.16,366,63.88%,40%,20%,1099,$378.45,$433.79,N/A,N/A,65.15,A,A,A-,B+,A-,A,7.31,84.72%,82.69%,17.62,0.19%,9.12%
IWD,iShares Russell 1000 Value ETF,Equity,"$49,798,900,000",2.38%,"1,741,922",$153.82,0.11%,No,False,3.10%,1.66%,-0.47%,10.15%,6.95%,"-$5,183,445,971.60","-$76,321,457.50","-$183,736,864.05","-$3,422,227,381.05","$3,509,949,543.95","$3,745,088,783.95",Large Cap Blend Equities,2000-05-22,0.18%,TD Ameritrade,$3.30,2023-06-07,$0.63,2.17%,14.89,0.95,851,18.91%,40%,20%,1099,$147.13,$153.44,$153.14,$154.25,57.48,A,A-,B,B,B+,A,6.22,9.13%,44.66%,222.6,12.36%,4.36%
VYM,Vanguard High Dividend Yield Index ETF,Equity,"$48,301,400,000",-1.98%,"1,777,240",$105.32,0.17%,No,False,3.39%,0.75%,-1.75%,10.75%,7.59%,"-$459,003,466.60","$24,006,134.01","-$14,573,686.88","$4,210,076,298.93","$14,142,422,713.65","$20,680,952,514.10",Large Cap Blend Equities,2006-11-10,0.06%,2 Platforms,$3.31,2023-03-20,$0.72,3.15%,14.80,0.84,467,24.98%,40%,20%,1099,$101.15,$105.07,$104.82,$105.63,54.91,A,A,A,A-,A,A-,6.7,40.88%,60.02%,270.07,10.01%,3.20%
XLK,Technology Select Sector SPDR Fund,Equity,"$46,639,600,000",33.04%,"6,856,611",$165.19,1.08%,No,False,-0.46%,9.22%,19.13%,18.72%,19.47%,"-$2,698,796,859.90","-$208,553,082.80","-$192,290,693.75","-$1,553,527,083.65","-$1,494,402,956.00","-$1,720,470,547.35",Technology Equities,1998-12-16,0.10%,N/A,$1.32,2023-03-20,$0.32,0.81%,23.77,1.14,66,71.11%,40%,20%,1099,$147.94,$170.99,N/A,N/A,65.50,A+,A,A-,A-,A,B+,7.54,91.81%,88.82%,21.81,0.26%,10.24%
SCHD,Schwab US Dividend Equity ETF,Equity,"$46,486,100,000",-4.02%,"3,447,723",$71.91,0.15%,No,False,2.92%,1.30%,-4.02%,12.60%,10.88%,"$4,228,598,000.00","$127,635,500.00","$271,378,000.00","$13,005,982,500.00","$31,777,773,000.00","$35,293,488,107.65",Large Cap Blend Equities,2011-10-20,0.06%,Charles Schwab,$2.64,2023-03-22,$0.60,3.68%,14.91,0.88,102,41.85%,40%,20%,1099,$69.09,$71.59,$71.60,$72.09,54.20,A,A,A-,B+,A,C+,7.17,93.08%,78.16%,79.14,6.37%,5.69%
VB,Vanguard Small Cap ETF,Equity,"$44,012,500,000",6.87%,"592,086",$195.34,-0.31%,No,False,5.35%,5.36%,1.14%,9.89%,5.81%,"$741,283,134.89","$183,845,065.15","-$108,380,172.51","$942,259,099.30","$8,861,539,455.15","$13,920,824,819.23",Small Cap Growth Equities,2004-01-26,0.05%,2 Platforms,$3.10,2023-03-23,$0.75,1.58%,13.30,1.14,1455,5.16%,40%,20%,1099,$180.12,$194.11,$194.09,$196.20,60.52,A,A,A-,A-,A-,A-,5.69,44.51%,33.49%,142.28,4.73%,6.95%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$43,070,900,000",12.25%,"1,250,415",$94.52,0.50%,No,False,2.18%,4.41%,5.28%,11.34%,10.11%,"-$359,429,407.55","$117,599,247.50","$262,896,281.20","$941,990,756.45","$9,192,605,906.45","$17,452,704,371.45",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.45,2023-06-07,$0.28,1.54%,18.56,1.02,3271,25.45%,40%,20%,1099,$89.10,$94.72,$93.98,$94.86,63.54,A,A,B-,B,B+,A,6.51,24.48%,52.38%,131.67,8.58%,6.27%
XLV,Health Care Select Sector SPDR Fund,Equity,"$40,087,300,000",-3.92%,"9,807,372",$130.02,0.64%,No,False,1.05%,-2.67%,1.26%,9.68%,10.93%,"$259,525,426.85","$257,563,528.30","$639,976,828.55","$1,752,396,721.40","$8,666,390,145.25","$15,643,606,999.40",Health & Biotech Equities,1998-12-16,0.10%,N/A,$2.05,2023-03-20,$0.49,1.59%,16.67,0.70,66,53.97%,40%,20%,1099,$126.77,$133.13,$129.13,$130.55,48.10,A,A,C+,A,A,B+,7.03,74.85%,72.81%,13.73,0.00%,13.51%
TLT,iShares 20+ Year Treasury Bond ETF,Bond,"$37,321,900,000",3.82%,"22,924,388",$102.06,1.17%,No,False,-1.03%,-2.44%,-7.99%,-11.49%,-1.11%,"$10,315,309,870.00","-$495,096,190.00","$2,014,467,880.00","$20,737,814,470.00","$29,407,706,930.00","$35,862,425,850.00",Government Bonds,2002-07-22,0.15%,2 Platforms,$3.00,2023-06-01,$0.27,2.94%,0.00,0.06,37,61.19%,40%,20%,1099,$99.50,$104.36,N/A,N/A,47.82,A+,B-,A,C,A-,C+,5.72,80.14%,34.48%,0.0,0.00%,0.00%
BSV,Vanguard Short-Term Bond ETF,Bond,"$37,283,300,000",1.67%,"2,365,225",$75.87,0.20%,No,False,-0.34%,-0.91%,0.33%,-1.31%,1.24%,"-$620,305,000.00","$45,465,000.00","$228,366,000.00","-$1,969,060,000.00","$17,076,866,703.22","$15,496,479,703.22",Total Bond Market,2007-04-03,0.04%,3 Platforms,$1.40,2023-06-01,$0.15,1.85%,0.00,0.04,2665,11.22%,40%,20%,1099,$75.45,$76.66,$75.81,$75.91,47.00,A,A,A-,A-,B,A,6.1,26.57%,41.85%,144.33,2.34%,0.93%
XLE,Energy Select Sector SPDR Fund,Equity,"$35,098,100,000",-5.53%,"21,380,040",$81.78,-0.43%,No,False,5.47%,1.93%,-7.52%,28.02%,6.39%,"-$2,903,851,477.35","-$372,015,983.95","-$1,345,293,880.10","-$5,220,222,338.20","$4,962,073,246.50","$3,824,668,191.60",Energy Equities,1998-12-16,0.10%,N/A,$3.32,2023-03-20,$0.80,4.04%,8.87,1.36,25,74.38%,40%,20%,1099,$76.57,$81.61,$80.63,$82.72,53.00,A+,A,B,A,A-,B,6.17,20.97%,43.62%,409.33,0.00%,0.57%
RSP,Invesco S&P 500® Equal Weight ETF,Equity,"$35,069,300,000",3.40%,"4,385,921",$145.33,0.04%,No,False,3.32%,1.61%,0.08%,11.40%,8.99%,"$1,818,473,490.00","$1,691,496,140.00","$2,103,805,010.00","$3,805,995,620.00","$17,715,544,830.00","$15,480,037,280.00",Large Cap Blend Equities,2003-04-24,0.20%,Charles Schwab,$2.60,2023-03-20,$0.69,1.79%,16.14,1.05,504,2.71%,40%,20%,1099,$138.86,$145.16,$144.60,$145.80,56.73,A,A-,B-,B-,B,A-,6.68,49.28%,58.92%,234.01,8.12%,6.52%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$34,053,800,000",3.20%,"20,930,704",$107.04,0.67%,No,False,-0.52%,-1.06%,-1.15%,-4.12%,1.71%,"-$1,460,268,780.00","-$933,110,080.00","$476,723,670.00","$1,857,311,270.00","-$11,566,326,650.00","$2,409,357,290.00",Corporate Bonds,2002-07-22,0.14%,2 Platforms,$3.97,2023-06-01,$0.35,3.71%,0.00,0.33,2640,2.39%,40%,20%,1099,$105.50,$108.32,N/A,N/A,48.70,A+,B,A,C,A-,A,6.6,61.27%,55.65%,147.83,10.59%,3.33%
MUB,iShares National Muni Bond ETF,Bond,"$32,223,500,000",1.95%,"2,257,354",$106.42,0.39%,No,False,0.17%,-0.75%,1.54%,-0.37%,1.77%,"-$20,947,310.00","-$95,581,640.00","$18,457,730.00","$3,405,280,740.00","$17,405,037,270.00","$24,145,682,780.00",National Munis,2007-09-07,0.07%,2 Platforms,$2.55,2023-06-01,$0.23,2.40%,0.00,0.11,5469,2.55%,40%,20%,1099,$104.85,$107.25,$106.19,$106.56,51.47,A,A,B+,B,A-,A+,0.0,N/A,N/A,N/A,N/A,N/A
VNQ,Vanguard Real Estate ETF,Real Estate,"$32,168,900,000",1.83%,"5,707,529",$83.16,-0.62%,No,False,3.94%,0.20%,-10.69%,3.06%,4.64%,"-$1,571,573,391.16","-$23,530,977.25","-$481,950,136.51","-$3,738,581,607.56","$3,341,953,240.63","$2,040,633,597.49",Real Estate,2004-09-23,0.12%,2 Platforms,$3.42,2023-03-24,$0.77,4.09%,27.70,0.91,166,48.62%,40%,20%,1099,$78.24,$83.40,N/A,N/A,55.77,A,A,B-,B-,A-,A,6.05,77.27%,40.44%,82.45,0.00%,13.51%
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$31,898,200,000",12.74%,"1,603,051",$50.71,0.58%,No,False,1.87%,4.30%,5.73%,11.58%,10.76%,"-$703,085,500.00","-$220,000.00","-$17,507,500.00","$1,380,918,500.00","$5,054,385,500.00","$9,724,205,384.40",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$0.77,2023-03-22,$0.18,1.52%,18.90,1.01,756,28.29%,40%,20%,1099,$47.92,$50.88,$50.42,$50.88,63.64,A,A,B,B,A-,A,6.61,34.15%,55.83%,130.95,9.18%,6.43%
IVW,iShares S&P 500 Growth ETF,Equity,"$31,614,600,000",16.42%,"1,753,029",$67.75,0.83%,No,False,1.07%,4.97%,4.19%,10.25%,11.49%,"-$596,188,145.55","$80,898,184.20","$54,970,893.10","$167,952,202.15","-$4,496,674,482.85","-$3,368,554,942.85",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$0.63,2023-06-07,$0.15,0.92%,20.79,1.05,233,45.34%,40%,20%,1099,$63.86,$68.36,N/A,N/A,64.80,A,B+,A,C+,A,B+,6.79,65.51%,63.33%,81.64,4.40%,7.33%
QUAL,iShares MSCI USA Quality Factor ETF,Equity,"$30,177,700,000",14.01%,"2,113,908",$129.15,0.43%,No,False,1.02%,4.01%,7.02%,10.41%,10.27%,"$9,631,605,953.20","$116,248,123.40","$765,183,216.90","$8,127,912,515.00","$6,459,141,710.00","$17,775,422,990.00",Large Cap Growth Equities,2013-07-18,0.15%,N/A,$1.76,2023-06-07,$0.38,1.36%,17.62,1.03,127,37.95%,40%,20%,1099,$122.79,$130.40,$128.53,$129.53,60.23,A,A-,B+,B,B+,B-,6.89,74.58%,66.96%,66.37,2.63%,6.74%
XLF,Financial Select Sector SPDR Fund,Equity,"$30,053,900,000",-2.63%,"60,678,060",$33.14,-0.09%,No,False,3.24%,2.51%,-2.18%,10.29%,5.57%,"-$64,945,555.00","$198,413,158.80","-$564,557,162.10","-$1,559,729,760.65","$4,102,335,386.60","-$5,273,692,128.60",Financials Equities,1998-12-16,0.10%,N/A,$0.70,2023-03-20,$0.15,2.11%,12.51,1.07,74,55.24%,40%,20%,1099,$31.49,$33.17,N/A,N/A,55.81,A+,A,A-,B+,B-,B+,6.01,47.68%,39.77%,38.81,12.91%,0.17%
IWB,iShares Russell 1000 ETF,Equity,"$29,556,900,000",12.41%,"650,691",$235.12,0.56%,No,False,1.92%,4.18%,5.53%,11.52%,10.56%,"-$939,125,486.05","$1,401,621.70","$71,129,860.40","$201,159,390.45","$113,753,215.45","-$1,579,008,259.55",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$3.36,2023-06-07,$0.63,1.43%,19.16,1.01,1009,27.60%,40%,20%,1099,$222.31,$235.76,$233.81,$235.91,63.38,A,A-,B-,B+,B+,A,6.58,30.45%,54.74%,131.95,9.18%,6.36%
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Bond,"$29,110,100,000",1.93%,"8,052,674",$91.54,0.05%,No,False,0.10%,0.48%,3.30%,1.08%,1.35%,"$2,596,259,053.95","$45,768,004.15","-$669,758,041.85","$11,603,751,874.95","$11,405,948,496.90","$25,572,582,317.70",Government Bonds,2007-05-25,0.14%,N/A,$2.87,2023-06-01,$0.37,3.14%,0.00,-0.05,19,72.79%,40%,20%,1099,$91.13,$91.56,$91.53,$91.54,95.90,A,B,C+,A,B,C+,5.72,20.37%,33.96%,1.6,0.00%,0.00%
IEF,iShares 7-10 Year Treasury Bond ETF,Bond,"$29,028,700,000",2.69%,"9,801,195",$97.29,0.67%,No,False,-0.83%,-2.18%,-2.13%,-5.36%,0.76%,"$6,257,086,540.00","$999,111,350.00","$1,556,163,180.00","$12,600,172,440.00","$13,660,013,820.00","$22,695,884,350.00",Government Bonds,2002-07-22,0.15%,Fidelity,$2.37,2023-06-01,$0.23,2.43%,0.00,0.05,18,97.65%,40%,20%,1099,$95.97,$99.53,N/A,N/A,46.44,A,C+,A-,B-,B+,B-,5.72,80.14%,34.48%,0.0,0.00%,0.00%
DIA,SPDR Dow Jones Industrial Average ETF Trust,Equity,"$28,328,300,000",3.06%,"3,386,237",$338.81,0.49%,No,False,2.38%,0.83%,4.94%,9.72%,8.21%,"-$1,573,556,149.10","$18,957,672.35","$169,147,420.70","-$810,320,038.30","$732,981,122.90","-$211,776,015.80",Large Cap Growth Equities,1998-01-14,0.16%,N/A,$6.51,2023-05-19,$0.73,1.93%,16.82,0.94,31,55.22%,40%,20%,1099,$326.67,$338.72,$337.29,$339.80,57.32,A,B+,C,A,A,C,7.11,87.98%,75.75%,37.32,7.86%,5.78%
USMV,iShares MSCI USA Min Vol Factor ETF,Equity,"$28,155,800,000",1.13%,"2,758,896",$72.30,0.57%,No,False,1.25%,-1.37%,1.42%,6.37%,8.29%,"-$1,630,223,869.20","-$79,448,593.00","$24,381,407.60","$1,322,714,102.90","-$11,603,397,117.10","$5,579,953,372.90",Volatility Hedged Equity,2011-10-18,0.15%,Fidelity,$1.28,2023-06-07,$0.28,1.77%,21.16,0.75,173,15.31%,40%,20%,1099,$70.80,$73.44,$71.93,$72.51,50.57,A,A-,A-,A,A,B,6.9,75.23%,67.51%,308.53,8.26%,8.59%
SHY,iShares 1-3 Year Treasury Bond ETF,Bond,"$28,048,600,000",1.41%,"5,951,231",$81.43,0.16%,No,False,-0.22%,-0.71%,0.27%,-1.02%,0.92%,"$508,242,600.00","-$138,187,570.00","$568,520,890.00","$3,104,394,920.00","$6,781,148,140.00","$16,183,154,370.00",Government Bonds,2002-07-22,0.15%,2 Platforms,$1.74,2023-06-01,$0.20,2.14%,0.00,0.01,73,42.41%,40%,20%,1099,$81.07,$82.09,$81.38,$81.47,47.09,A,C+,B-,A-,A-,B+,5.72,88.89%,34.48%,0.0,0.00%,0.00%
IWR,iShares Russell Midcap ETF,Equity,"$27,626,200,000",5.22%,"1,214,245",$70.51,0.07%,No,False,3.74%,2.91%,-0.37%,9.19%,7.13%,"-$797,139,565.05","-$13,904,608.40","-$37,735,605.40","-$358,649,552.10","$2,088,492,882.90","$4,016,636,717.90",Mid Cap Blend Equities,2001-07-17,0.18%,N/A,$1.10,2023-06-07,$0.19,1.58%,16.45,1.09,810,5.32%,40%,20%,1099,$66.73,$70.31,$70.13,$70.73,58.69,A+,A-,B+,B,B,A,6.37,85.21%,48.14%,204.11,5.43%,6.43%
VTEB,Vanguard Tax-Exempt Bond ETF,Bond,"$27,122,200,000",2.23%,"3,098,817",$50.02,0.28%,No,False,0.26%,-0.65%,1.43%,-0.39%,1.78%,"$2,426,551,203.56","$93,364,596.55","$443,786,035.18","$10,535,030,082.78","$20,491,870,688.87","$24,693,776,433.45",National Munis,2015-08-21,0.05%,N/A,$1.24,2023-06-01,$0.12,2.49%,0.00,0.12,7205,1.86%,40%,20%,1099,$49.30,$50.41,N/A,N/A,51.92,A+,A+,N/A,B+,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
VV,Vanguard Large Cap ETF,Equity,"$27,086,400,000",13.06%,"219,717",$196.18,0.68%,No,False,1.72%,4.25%,6.03%,11.63%,10.89%,"$86,475,357.99","-$3,192,420.62","-$6,509,756.53","$756,490,041.96","$3,391,486,653.07","$6,175,028,956.61",Large Cap Growth Equities,2004-01-27,0.04%,Vanguard,$2.95,2023-03-23,$0.71,1.51%,20.30,1.01,559,27.03%,40%,20%,1099,$185.52,$196.88,$195.08,$196.81,63.44,A-,A,B,B,B+,A-,6.63,35.85%,56.38%,132.07,9.49%,6.38%
MBB,iShares MBS ETF,Bond,"$26,736,000,000",2.32%,"1,825,900",$93.63,0.50%,No,False,-0.27%,-0.97%,-1.48%,-3.69%,0.15%,"$3,264,734,100.00","$354,119,340.00","$664,055,400.00","$6,611,350,190.00","$9,517,427,080.00","$17,594,394,350.00",Mortgage Backed Securities,2007-03-13,0.04%,2 Platforms,$2.67,2023-06-01,$0.27,2.85%,0.00,0.11,10534,15.82%,40%,20%,1099,$92.19,$94.68,$93.36,$93.81,50.30,A+,A,B+,A-,A-,A,0.0,N/A,N/A,N/A,N/A,N/A
JEPI,JPMorgan Equity Premium Income ETF,Equity,"$26,593,400,000",3.94%,"4,607,334",$54.51,0.18%,No,False,1.09%,0.29%,5.73%,11.98%,N/A,"$9,119,862,000.00","$265,389,750.00","$1,177,474,750.00","$17,116,986,000.00","$27,649,686,000.00","$27,653,535,000.00",Large Cap Blend Equities,2020-05-20,0.35%,N/A,$6.03,2023-06-01,$0.36,11.09%,18.15,0.62,117,17.73%,40%,20%,1099,$53.47,$54.74,$54.40,$54.57,56.95,A,B+,A,A-,A,N/A,7.01,82.20%,72.12%,249.38,10.95%,5.84%
